Success,Nodes,Depth,MaxReward,Scrambles
True,183,5,1.0,5
True,3393,6,1.0,5
True,33,3,1.0,5
True,2973,7,1.0,5
True,1233,6,1.0,5
True,2178,7,1.0,5
True,468,5,1.0,5
True,1233,6,1.0,5
True,573,5,1.0,5
True,1458,6,1.0,5
True,78,4,1.0,5
True,8538,9,1.0,5
True,3648,9,1.0,5
True,333,6,1.0,5
True,7263,9,1.0,5
True,5523,9,1.0,5
True,3078,9,1.0,5
True,3018,9,1.0,5
True,1518,6,1.0,5
True,5598,6,1.0,5
True,3003,7,1.0,5
True,1323,8,1.0,5
True,4173,6,1.0,5
True,2058,6,1.0,5
True,1818,6,1.0,5
True,498,6,1.0,5
True,3993,6,1.0,5
True,2223,7,1.0,5
True,1098,6,1.0,5
True,2013,6,1.0,5
True,1593,6,1.0,5
True,1158,6,1.0,5
True,303,6,1.0,5
True,438,6,1.0,5
True,1023,6,1.0,5
True,1803,6,1.0,5
True,333,5,1.0,5
True,4983,6,1.0,5
True,3783,7,1.0,5
True,20028,7,1.0,5
True,5403,6,1.0,5
True,828,7,1.0,5
True,6813,10,1.0,5
True,4188,6,1.0,5
True,1188,6,1.0,5
True,1143,6,1.0,5
True,843,7,1.0,5
True,10593,7,1.0,5
True,723,6,1.0,5
True,1188,8,1.0,5
True,9078,7,1.0,6
True,34383,9,1.0,6
True,23433,10,1.0,6
True,14343,9,1.0,6
True,9168,7,1.0,6
True,1383,6,1.0,6
True,36303,13,1.0,6
True,8478,7,1.0,6
True,8358,9,1.0,6
True,53373,8,1.0,6
True,28593,11,1.0,6
True,12858,8,1.0,6
True,7938,8,1.0,6
True,6228,7,1.0,6
True,8508,7,1.0,6
True,24858,8,1.0,6
True,48,3,1.0,6
True,22233,12,1.0,6
True,9723,7,1.0,6
True,14538,8,1.0,6
True,24768,7,1.0,6
True,618,7,1.0,6
True,19293,12,1.0,6
True,2538,6,1.0,6
True,34968,13,1.0,6
True,858,6,1.0,6
True,4248,7,1.0,6
True,3018,7,1.0,6
True,243,5,1.0,6
True,21678,8,1.0,6
True,7683,8,1.0,6
True,23493,9,1.0,6
True,78513,13,1.0,6
True,37818,9,1.0,6
True,23223,9,1.0,6
True,24888,7,1.0,6
True,558,5,1.0,6
True,6978,7,1.0,6
True,89943,11,1.0,6
True,2433,7,1.0,6
True,978,6,1.0,6
True,38763,8,1.0,6
True,172023,13,1.0,6
True,12603,9,1.0,6
True,258,5,1.0,6
True,44088,7,1.0,6
True,6453,11,1.0,6
True,29838,8,1.0,6
True,11628,7,1.0,6
True,2868,7,1.0,6
True,86748,15,1.0,7
True,95433,12,1.0,7
True,56358,10,1.0,7
True,199263,8,1.0,7
True,67788,10,1.0,7
True,18333,14,1.0,7
True,238878,14,1.0,7
True,151563,9,1.0,7
True,24618,15,1.0,7
True,10983,8,1.0,7
True,10938,8,1.0,7
True,328278,17,1.0,7
True,56598,11,1.0,7
True,186123,9,1.0,7
True,284763,9,1.0,7
True,12738,7,1.0,7
True,83343,11,1.0,7
True,2778,8,1.0,7
True,48873,8,1.0,7
True,643983,16,1.0,7
True,498,6,1.0,7
True,25353,8,1.0,7
True,34848,8,1.0,7
True,33558,10,1.0,7
True,19758,8,1.0,7
True,54828,13,1.0,7
True,28848,13,1.0,7
True,28008,8,1.0,7
True,2328,6,1.0,7
True,235563,10,1.0,7
True,172443,10,1.0,7
True,207123,10,1.0,7
True,124473,8,1.0,7
True,179598,16,1.0,7
True,53643,8,1.0,7
True,24513,13,1.0,7
True,97083,8,1.0,7
True,8043,8,1.0,7
True,933,5,1.0,7
True,44868,10,1.0,7
True,35328,15,1.0,7
True,237873,9,1.0,7
True,25848,8,1.0,7
True,387858,11,1.0,7
True,228993,8,1.0,7
True,15483,8,1.0,7
True,9393,10,1.0,7
True,25428,11,1.0,7
True,211323,10,1.0,7
True,83058,8,1.0,7
False,1500003,10,0.617,8
True,1026558,20,1.0,8
True,210648,9,1.0,8
True,858,6,1.0,8
True,738,6,1.0,8
True,530418,9,1.0,8
True,1179948,12,1.0,8
True,287418,11,1.0,8
True,29193,8,1.0,8
False,1500003,9,0.56,8
False,1500003,19,0.909,8
True,174573,9,1.0,8
True,731418,16,1.0,8
True,9633,7,1.0,8
True,187608,9,1.0,8
True,328833,16,1.0,8
True,221268,8,1.0,8
True,533793,9,1.0,8
True,366528,13,1.0,8
True,170973,14,1.0,8
True,329718,18,1.0,8
True,17898,14,1.0,8
True,443868,10,1.0,8
True,391203,10,1.0,8
True,518088,11,1.0,8
True,4848,9,1.0,8
False,1500003,20,0.909,8
True,109068,9,1.0,8
True,210873,10,1.0,8
True,374988,9,1.0,8
True,304578,9,1.0,8
True,288528,9,1.0,8
True,818538,9,1.0,8
True,218013,10,1.0,8
True,11913,8,1.0,8
True,388623,12,1.0,8
True,7953,11,1.0,8
True,18873,8,1.0,8
True,224103,12,1.0,8
True,560208,9,1.0,8
True,927138,16,1.0,8
True,9693,10,1.0,8
True,6798,8,1.0,8
True,519318,16,1.0,8
True,258303,9,1.0,8
True,381378,13,1.0,8
True,137718,8,1.0,8
True,130773,12,1.0,8
True,704148,13,1.0,8
True,306123,11,1.0,8
True,265113,17,1.0,9
False,1500003,18,0.906,9
True,507978,12,1.0,9
False,1500003,20,0.909,9
False,1500003,17,0.878,9
True,660108,16,1.0,9
True,106983,10,1.0,9
False,1500003,9,0.582,9
False,1500003,9,0.591,9
False,1500003,10,0.627,9
False,1500003,10,0.587,9
False,1500003,9,0.582,9
False,1500003,9,0.639,9
False,1500003,10,0.604,9
False,1500003,10,0.599,9
True,596028,10,1.0,9
False,1500003,9,0.569,9
True,566733,10,1.0,9
False,1500003,10,0.652,9
False,1500003,10,0.603,9
False,1500003,13,0.753,9
True,742863,13,1.0,9
True,2013,6,1.0,9
True,960033,10,1.0,9
False,1500003,10,0.644,9
False,1500003,11,0.678,9
False,1500003,9,0.613,9
False,1500003,9,0.562,9
True,801768,10,1.0,9
False,1500003,16,0.837,9
False,1500003,11,0.682,9
False,1500003,10,0.589,9
True,222813,10,1.0,9
False,1500003,9,0.547,9
True,23298,8,1.0,9
True,15348,8,1.0,9
False,1500003,10,0.661,9
False,1500003,9,0.585,9
True,162153,14,1.0,9
False,1500003,21,0.909,9
False,1500003,20,0.909,9
True,80418,9,1.0,9
False,1500003,9,0.566,9
False,1500003,9,0.636,9
True,652323,9,1.0,9
False,1500003,10,0.581,9
False,1500003,10,0.657,9
True,451143,20,1.0,9
False,1500003,10,0.643,9
False,1500003,9,0.572,9
False,1500003,9,0.538,10
True,38028,7,1.0,10
False,1500003,9,0.538,10
False,1500003,9,0.606,10
True,123438,8,1.0,10
False,1500003,10,0.632,10
False,1500003,9,0.608,10
False,1500003,9,0.533,10
False,1500003,18,0.897,10
False,1500003,9,0.597,10
